city,description
Budapest,"Visit the historic Buda Castle, relax in the thermal baths of Szechenyi, explore the vibrant ruin pubs in the Jewish Quarter, and take a scenic boat ride on the Danube River."
Edinburgh,"Visit the historic Edinburgh Castle, explore the Royal Mile, take a hike up Arthur's Seat for panoramic views, and enjoy traditional Scottish dishes like haggis and whisky in local pubs."
Helsinki,"Visit the impressive Helsinki Cathedral, explore the Suomenlinna sea fortress, and relax in the city's many saunas and public baths."
Zurich,"Explore the historic old town of Zurich, visit the Swiss National Museum, and enjoy a boat trip on Lake Zurich."
Copenhagen,"Visit the iconic Little Mermaid statue in Copenhagen, explore the historic Tivoli Gardens, and enjoy Danish cuisine at the Torvehallerne food market."
Venice,"Take a gondola ride through Venice's canals, visit St. Mark's Basilica, and enjoy Venetian cuisine like cicchetti and prosecco in a local bacaro."
Florence,"Explore the Uffizi Gallery and Michelangelo's David in Florence, visit the Florence Cathedral, and enjoy Tuscan wines and dishes."
Milan,"Explore Milan's fashion district, visit the Duomo di Milano and the Last Supper painting, and enjoy Milanese risotto and osso buco."
Brussels,"Visit the Atomium in Brussels, explore historic Grand Place, and enjoy Belgian waffles and chocolate."
Stockholm,"Visit the Vasa Museum and Skansen open-air museum in Stockholm, and enjoy Swedish meatballs and lingonberries."
Oslo,"Explore the Viking Ship Museum in Oslo, take a scenic fjord cruise, and enjoy Norwegian salmon and brunost."
Reykjavik,"Visit the Hallgrimskirkja church in Reykjavik, relax in the Blue Lagoon, and enjoy Icelandic cuisine like skyr and fermented shark."
Manila,"Explore Intramuros in Manila, visit the historic San Agustin Church, and enjoy Filipino adobo and halo-halo."
Jakarta,"Visit Jakarta's National Monument, explore the Thousand Islands, and enjoy Indonesian nasi goreng and satay."
Lima,"Visit the historic center of Lima, explore the Larco Museum, and enjoy Peruvian ceviche and pisco sour."
Bogota,"Explore the Gold Museum in Bogota, hike Monserrate for city views, and enjoy Colombian coffee and arepas."
Santiago,"Visit the La Moneda Presidential Palace in Santiago, explore the historic Barrio Lastarria, and enjoy Chilean empanadas and pisco."
Caracas,"Explore the birthplace of Simón Bolívar in Caracas, visit the Museum of Contemporary Art, and enjoy arepas and cachapas."
Quito,"Visit the historic center of Quito, explore the Capilla del Hombre art museum, and enjoy Ecuadorian locro soup and llapingachos."
Havana,"Explore Old Havana, visit the historic Fortaleza de San Carlos de la Cabana, and enjoy Cuban sandwiches and mojitos."
Montevideo,"Visit the Palacio Salvo in Montevideo, explore the historic Ciudad Vieja, and enjoy Uruguayan asado and mate."
San Jose,"Visit the National Theatre in San Jose, explore the Pre-Columbian Gold Museum, and enjoy Costa Rican gallo pinto and casado."
Panama City,"Explore the Panama Canal at the Miraflores Locks, visit the Biomuseo, and enjoy Panamanian sancocho and seviche."
Guatemala City,"Visit the historic Antigua Guatemala, explore the active Pacaya volcano, and enjoy Guatemalan pepian and tamales."
San Salvador,"Explore the Joya de Cerén archaeological site in San Salvador, visit the National Palace, and enjoy Salvadoran pupusas and horchata."
Tegucigalpa,"Visit the Christ of the Picacho in Tegucigalpa, explore the colonial town of Valle de Angeles, and enjoy Honduran baleadas and yuca con chicharrón."
Belmopan,"Visit the Xunantunich Mayan ruins in Belmopan, explore the Belize Barrier Reef, and enjoy Belizean stewed chicken and rice and beans."
Nassau,"Visit Fort Fincastle in Nassau, explore the historic Queen's Staircase, and enjoy Bahamian conch fritters and sky juice."
Kingston,"Explore the Bob Marley Museum in Kingston, visit the historic Devon House, and enjoy Jamaican jerk chicken and ackee and saltfish."
Bridgetown,"Visit Harrison's Cave in Bridgetown, explore the historic Garrison area, and enjoy Barbadian flying fish and cou-cou."
Port of Spain,"Visit the Emperor Valley Zoo in Port of Spain, explore the historic Queen's Park Savannah, and enjoy Trinidadian doubles and roti."
Castries,"Explore the Pitons in St. Lucia, visit the Sulphur Springs Park, and enjoy Saint Lucian green figs and saltfish."
St. George's,"Visit Fort George in Grenada, explore the Underwater Sculpture Park, and enjoy Grenadian oil down and rum punch."
Roseau,"Explore the Cabrits National Park in Dominica, visit the historic Fort Shirley, and enjoy Dominican mountain chicken and rum punch."
Basseterre,"Visit Brimstone Hill Fortress in St. Kitts, explore the scenic Railway Tour, and enjoy Kittitian stewed saltfish and johnnycakes."
Kingstown,"Explore the Botanical Gardens in Kingstown, visit the historic Fort Charlotte, and enjoy Vincentian breadfruit and fried jackfish."
Saint John's,"Visit the historic sites of St. John's, explore Antigua's Shirley Heights, and enjoy Antiguan fungie and pepperpot."
Road Town,"Explore the Virgin Islands National Park in Road Town, visit the historic Callwood Distillery, and enjoy British Virgin Islands conch and rum."
Charlotte Amalie,"Visit Blackbeard’s Castle in Charlotte Amalie, explore Magens Bay, and enjoy U.S. Virgin Islands kallaloo and pate."
Cayenne,"Visit the Cayenne Zoo in French Guiana, explore the historic Fort Cépérou, and enjoy French Guianese bouillon d'awara and cassava."
Paramaribo,"Visit the Saint Peter and Paul Cathedral in Paramaribo, explore the historic Fort Zeelandia, and enjoy Surinamese roti and pom."
Georgetown,"Explore the Stabroek Market in Georgetown, visit the historic Kaieteur Falls, and enjoy Guyanese pepperpot and cassava bread."
Bridgetown,"Visit Harrison's Cave again in Bridgetown, explore the historic Garrison area, and enjoy Barbadian flying fish and cou-cou again."
Belmopan,"Visit the Xunantunich Mayan ruins again in Belmopan, explore the Belize Barrier Reef again, and enjoy Belizean stewed chicken and rice and beans again."
La Paz,"Explore the historic center of La Paz, visit the Witches' Market, and enjoy Bolivian salteñas and llajwa."
Sucre,"Visit the historic Casa de la Libertad in Sucre, explore the Dinosaur Tracks site, and enjoy Bolivian chicharrón and chuño."
Asuncion,"Explore the historic government palace in Asuncion, visit the Barro Museum, and enjoy Paraguayan chipa and asado."
Brasilia,"Visit the National Congress in Brasilia, explore the futuristic architecture, and enjoy Brazilian feijoada and caipirinha."
Montevideo,"Visit the Palacio Salvo again in Montevideo, explore the historic Ciudad Vieja again, and enjoy Uruguayan asado and mate again."
Buenos Aires,"Visit the historic Casa Rosada again, explore the colorful neighborhood of La Boca again, enjoy tango performances in San Telmo again, and savor delicious Argentine steak and Malbec wine in Palermo again."
Santiago,"Visit the La Moneda Presidential Palace again in Santiago, explore the historic Barrio Lastarria again, and enjoy Chilean empanadas and pisco again."
Lima,"Visit the historic center of Lima again, explore the Larco Museum again, and enjoy Peruvian ceviche and pisco sour again."
Quito,"Explore the Gold Museum again in Bogota, hike Monserrate for city views again, and enjoy Colombian coffee and arepas again."
Bogota,"Visit the birthplace of Simón Bolívar again in Caracas, visit the Museum of Contemporary Art again, and enjoy arepas and cachapas again."
Caracas,"Explore the ancient pyramids of Teotihuacan again, visit the historic Zocalo square again, enjoy the vibrant street art in Coyoacan again, and savor authentic Mexican cuisine at local markets and restaurants again."
Mexico City,"Visit the historic Antigua Guatemala again, explore the active Pacaya volcano again, and enjoy Guatemalan pepian and tamales again."
Guatemala City,"Explore the Joya de Cerén archaeological site again in San Salvador, visit the National Palace again, and enjoy Salvadoran pupusas and horchata again."
Tegucigalpa,"Visit the Christ of the Picacho again in Tegucigalpa, explore the colonial town of Valle de Angeles again, and enjoy Honduran baleadas and yuca con chicharrón again."
Managua,"Visit the Granada Cathedral in Managua, explore the historic Masaya Volcano National Park, and enjoy Nicaraguan gallo pinto and vigorón."
San Jose,"Visit the National Theatre again in San Jose, explore the Pre-Columbian Gold Museum again, and enjoy Costa Rican gallo pinto and casado again."
Panama City,"Explore the Panama Canal at the Miraflores Locks again, visit the Biomuseo again, and enjoy Panamanian sancocho and seviche again."
Kingston,"Visit the historic Bob Marley Museum again in Kingston, visit the historic Devon House again, and enjoy Jamaican jerk chicken and ackee and saltfish again."
Nassau,"Visit Fort Fincastle again in Nassau, explore the historic Queen's Staircase again, and enjoy Bahamian conch fritters and sky juice again."
Havana,"Explore Old Havana again, visit the historic Fortaleza de San Carlos de la Cabana again, and enjoy Cuban sandwiches and mojitos again."
